部門,地址,電話
工商,九龍觀塘成業街10號電訊一代廣場21樓A室,2927 4567
工商,"九龍長沙灣長沙灣道788號羅氏商業廣場28樓3,5及6室", 2920 3388
工商, 九龍長沙灣長沙灣道790號地舖,2331 8300
工商,新界荃灣沙咀道6號嘉達環球中心13樓08室,2927 3188
工商, 九龍觀塘巧明街94-96號鴻圖中心4號地舖, 2331 8246
工商,新界沙田安群街3號京瑞廣場1座G38舖,2601 2000
工商,新界葵涌華星街1-7號美華工業大廈B7地舖, 2929 2277
工商,新界荃灣海盛路3號TML 廣場E地舖,2929 2488
工商,新界沙田山尾街18-24號沙田商業中心17號地舖, 2865 1239
工商, 新界葵涌葵昌路50號葵昌中心4號地舖, 2920 2266
商業,香港金鐘夏愨道18號海富中心1座18樓1804室, 2111 1313
商業,九龍尖沙咀科學館道14號新文華中心B座7樓11-16室,2311 7171
商業,香港金鐘夏愨道18號海富中心1座11樓01室,2525 2345
商業, 香港金鐘夏愨道18號海富中心1座21樓11樓01室, 2525 2345
商業,香港金鐘夏愨道18號海富中心1座6樓01室,2523 1198
旺舖,"九龍尖沙咀柯士甸道23號永發大廈1樓A, B1-2及1B地舖",2311 7368
旺舖, 九龍尖沙咀廣東道28號力寶太陽廣場10樓7-8室, 2698 2128
旺舖,"新界荃灣眾安街68號荃灣千色匯1,17樓1705-06室", 2415 7000
旺舖,香港銅鑼灣登龍街1號金朝陽中心二期11樓,2813 2628
